1,4868,12609,6979
2,35607,2047,817
3,8518,833,1987
4,14140,92,341
5,512,245,261
6,542,335,834
7,5827,411,562
8,724,243,340
9,2627,334,297
10,44199,709,425
11,4198,470,2003
12,12357,404,47
13,2755,867,1306
14,1444,143,367
15,2584,173,213
16,188,66,323
17,324,129,635
18,12295,208,229
19,7808,383,250
20,10735,519,430
21,43210,1965,128
22,2092,428,850
23,2694,395,378
24,476,305,521
25,3822,557,527
26,28742,120,96
27,9597,1069,1908
28,3016,481,142
29,8677,1292,188
30,33601,2109,1445
31,783,127,227
32,10530,248,2057
33,53370,112851,997
34,15649,736,204
35,8368,84527,570
36,44480,32795,597
37,3627,214,167
38,32221,950,1159
39,8045,992,936
40,8792,194,545
41,3704,158,149
42,11297,490,1449
43,9913,619,705
44,1425,73,523
45,5030,768,321
46,556,239,915
47,13409,860,397
48,7447,904,2050
49,2205,253,363
50,10212,723,356
51,2240,310,638
52,379,403,1562
53,11654,267,440
54,815,222,302
55,928,65,258
56,485,195,579
57,13572,502,1991
58,1270,73,539
59,2025,845,219
60,3382,238,691
61,1522,129,164
62,675,59,212
63,178,6,11
64,204,89,272
65,6528,9922,8835
66,1748,253,248
67,378,53,241
68,3974,745,949
69,651,2605,352
70,2727,355,195
71,849,17,90
72,1253,336,918
73,1880,173,127
74,2697,337,692
75,124,35,101
76,534,342,1187
77,74,48,335
78,290,160,206
79,2939,77,172
80,1761,132,76
81,8634,493,539
82,143,71,153
83,774,257,531
84,48,27,137
85,104,46,57
86,1321,211,367
87,1172,527,1001
88,558,229,1114
89,6711,653,1457
90,1595,109,57
91,21,21,26
92,384,47,65
93,2529,143,174
94,107,8,26
95,54,666,98
96,485,7,24
97,288,23,49
98,609,48,207
99,12,7,61
100,25,14,34
