id,lat,lng
255,-0.25,-79.15
256,-2.003,-79.966
257,-0.27376,-78.467
258,-2.4209,-79.342
259,-2.1437,-79.889
260,-0.002676,-78.454
261,-0.25,-78.583
262,-0.18137,-78.481
263,-2.3254,-79.398
264,-2.6718,-80.364
265,-2.1561,-79.892
266,-0.20103,-78.503
267,-0.17377,-78.479
268,-0.25,-78.583
269,-2.0243,-79.918
270,-2.1702,-79.899
271,-0.21078,-78.501
272,-2.1291,-79.914
273,-2.1833,-79.883
274,-2.0773,-79.912
275,-2,-77.5
276,-2.1123,-79.873
277,-2.1558,-79.892
278,-2.1584,-79.887
279,-0.1366,-78.488
280,11.242,-74.205
281,-2.2564,-79.89
282,-2.2206,-80.909
283,-0.12505,-78.486
284,-0.097294,-78.466
285,-2.1761,-79.905
286,-2.1453,-79.897
287,-2.1502,-79.903
288,-2.1573,-80.811
289,-0.32382,-78.545
290,-2.1377,-79.923
291,-0.60285,-80.426
292,-0.94132,-80.735
293,-2.1833,-79.883
294,-2.1485,-79.939
295,-2.1711,-79.914
296,-2.1833,-79.883
297,-2.1806,-79.895
298,-2.1453,-79.899
299,-2.1886,-79.923
300,-2.2038,-79.897
301,-2.1873,-79.915
302,-0.08113,-78.463
303,-3.4476,-79.961
304,-2.0744,-79.845
305,-2.2149,-79.911
306,-2.1586,-79.896
307,-2.0035,-79.965
308,-1.0676,-80.474
309,-2.1886,-79.923
310,-2.1276,-79.94
311,-2.1616,-79.841
312,-2.1865,-79.884
313,-2.1723,-79.914
314,-2.1648,-79.896
315,-0.2201,-78.503
316,-1.0563,-80.46
317,-0.25,-78.583
318,-0.25,-78.583
319,-0.056981,-78.775
320,-2.1521,-79.904
321,14.563,-90.726
322,-0.22341,-78.513
323,-8.1127,-79.033
324,-2.9056,-79.003
325,-2.1539,-79.902
326,-2.1928,-79.882
327,-2.1623,-79.94
328,-1.2442,-78.623
329,-0.19209,-78.485
330,-2.0557,-79.875
331,-2.1329,-79.898
332,-0.25,-78.583
333,-1.0536,-80.461
334,-0.26901,-78.539
335,-2.1372,-79.901
336,-2.098,-79.875
337,-2.1833,-79.883
338,25.813,-80.134
339,-2.0917,-79.935
340,-2.1161,-79.872
341,-2.1607,-79.899
342,-2.2159,-80.855
343,-0.18321,-78.486
344,-0.16491,-78.481
345,-2.1833,-79.883
346,-2.1357,-79.906
347,-2.2287,-80.859
348,-2.1785,-79.809
349,-2.1376,-79.893
350,-2.0658,-79.914
351,-0.11589,-78.494
352,-12.13,-77.032
353,-2.1038,-79.904
354,-2.1479,-79.966
355,-1.2417,-78.62
356,-1.7995,-79.532
357,-2.2038,-79.897
358,-2.1833,-79.897
359,8.6319,-79.035
360,-2.1667,-79.895
361,-0.6,-80.417
362,-2.0209,-79.919
363,-2.1354,-79.59
364,-2.159,-79.898
365,-1.0533,-80.458
366,-0.26621,-78.535
367,-0.17857,-78.486
368,-2.098,-79.875
369,-1.0562,-80.455
370,-2.9205,-79.022
371,-2.1638,-79.9
372,-0.18166,-78.48
373,-2.1219,-79.865
374,-2.1711,-79.909
375,-0.25,-78.583
376,-0.20546,-78.486
377,-2.1776,-79.914
378,-1.0443,-80.466
379,0.86852,-79.851
