id,lat,lng
1,-2.17588,-79.90863
1,-2.17588,-79.90863
1,-2.17588,-79.90863
1,-2.17588,-79.90863
1,-2.17588,-79.90863
1,-2.17588,-79.90863
1,-2.17588,-79.90863
1,-2.17588,-79.90863
1,-2.17588,-79.90863
1,-2.17588,-79.90863
1,-2.17588,-79.90863
1,-2.17588,-79.90863
1,-2.17588,-79.90863
1,-2.17209045,-79.91032426
1,-2.17588,-79.90863
1,-2.17588,-79.90863
1,-2.17588,-79.90863
1,-2.17588,-79.90863
1,-2.17588,-79.90863
1,-2.17588,-79.90863
1,-2.17588,-79.90863
1,-2.17588,-79.90863
1,-2.17588,-79.90863
1,-2.17588,-79.90863
1,-2.17588,-79.90863
2,-12.11219772,-77.03860471
2,-12.1226101,-77.0311966
2,-12.11073589,-77.03735054
2,-12.06941237,-77.04209805
2,-12.11148068,-77.04066038
2,-12.11415322,-77.03979667
2,-12.13189349,-77.03026414
2,-12.13189349,-77.03026414
2,-12.13177811,-77.03086495
2,-12.12756454,-77.01757477
2,-12.11038184,-77.03712599
2,-12.11203643,-77.03831796
2,-12.12595652,-77.01780796
2,-12.11073589,-77.03735054
2,-12.06941237,-77.04209805
2,-12.11415322,-77.03979667
2,-12.05871065,-77.03845024
3,-2.89463997,-79.01194
3,-2.91158091,-79.0012848
3,-2.905869,-79.002434
3,-2.89944081,-79.00760019
3,-2.89659638,-79.00193623
3,-2.899726,-79.001056
3,-2.90758899,-79.00982483
3,-2.91567344,-78.99819872
3,-2.90493884,-79.00191307
3,-2.90348847,-79.01404213
3,-2.90329,-78.9988358
3,-2.903783,-79.014037
3,-2.89623956,-79.01241375
3,-2.90596294,-79.00241652
3,-2.90493884,-79.00191307
3,-2.91929966,-79.01498051
3,-2.91856428,-79.01477627
3,-2.91976837,-79.01538849
3,-2.90588508,-79.00252693
3,-2.90561261,-79.00628636
3,-2.8991014,-79.01752512
3,-2.897361,-79.00414444
3,-2.919407,-79.015392
3,-2.9031927,-79.0134305
3,-2.91545534,-79.01951219
3,-2.90045128,-79.01481491
3,-2.71312522,-78.89003537
3,-2.90596294,-79.00241652
3,-2.90493884,-79.00191307
3,-2.90588508,-79.00252693
3,-2.9014344,-79.00772164
3,-2.88717265,-78.98807855
3,-2.90045128,-79.01481491
3,-2.91844276,-79.01494187
3,-2.888859,-79.032002
3,-2.907358,-79.003896
3,-2.90190651,-79.01333558
3,-2.91929966,-79.01498051
3,-2.903783,-79.014037
3,-2.90334105,-79.02429203
3,-2.90451697,-79.01337246
3,-2.91910385,-79.0152289
3,-2.91026027,-79.00210737
3,-2.90190651,-79.01333558
3,-2.90640013,-79.00495595
3,-2.90580323,-79.00252678
3,-2.90639609,-79.0025568
3,-2.89496308,-79.01098967
3,-2.90451697,-79.01337246
3,-2.90190651,-79.01333558
3,-2.90633185,-79.00472961
4,-0.19805392,-78.48813057
4,-0.18012422,-78.50722684
4,-0.20375381,-78.49865441
4,-0.10771745,-78.48907471
4,-0.16436554,-78.47924709
4,-0.19900878,-78.48735809
4,-0.10771745,-78.48907471
4,-0.10771745,-78.48907471
4,-0.20256398,-78.49098578
4,-0.10771745,-78.48907471
4,-0.10771745,-78.48907471
4,-0.24886187,-79.16767001
4,-2.07306222,-79.84367143
4,-2.16755016,-79.84254999
4,-2.23004168,-80.92818557
4,-2.18850291,-81.00896078
4,-2.18609202,-79.92489338
4,-0.1832151,-78.48202906
4,-0.1817267,-78.48074
4,-0.10771745,-78.48907471
4,-0.17640324,-78.47993374
4,-0.10771745,-78.48907471
4,-0.16249352,-78.49750582
4,-0.10771745,-78.48907471
4,-0.10771745,-78.48907471
4,-0.19603691,-78.48508358
4,-0.19601123,-78.4855829
4,-0.19601123,-78.4855829
4,-0.19601123,-78.4855829
4,-0.19601123,-78.4855829
5,38.97858639,-1.8530918
5,-2.03926997,-79.89887346
5,-2.19468477,-79.88136902
6,40.26019,-74.27342
6,-33.44948384,-70.67377162
6,-2.1445601,-79.9170609
7,-2.14022343,-79.89820552
7,-2.15583698,-79.89255667
7,-2.13768718,-79.92316442
7,-2.1755971,-79.89889314
7,-2.15583698,-79.89255667
7,-2.11283265,-79.89301169
7,-2.14880383,-79.88433838
7,-2.13768718,-79.92316442
7,-2.15024113,-79.89225059
7,-2.15811147,-79.89915678
7,-2.14636529,-79.89882329
7,-2.1438077,-79.86944675
7,-2.14570543,-79.88587651
7,-2.14253325,-79.89647792
7,-2.15811147,-79.89915678
7,-2.16113326,-79.92605209
7,-2.14880383,-79.88433838
7,-0.19553484,-78.48429328
7,-0.124368,-78.359813
7,-2.14880383,-79.88433838
7,-2.15811147,-79.89915678
7,-2.15811147,-79.89915678
8,-2.12408453,-79.90623969
8,-2.1575,-79.88361111
8,-2.1833,-79.8833
8,-2.15186609,-79.89707116
8,-2.19104161,-79.89178945
8,-0.96639453,-80.70581264
8,-2.10383859,-79.90417216
8,-2.10383859,-79.90417216
8,-2.10383859,-79.90417216
8,-1.44449,-80.1138
8,-2.17657564,-79.87871602
8,-2.12800578,-79.90503382
8,-2.15841722,-79.8873064
8,-2.15841722,-79.8873064
8,-1.44449,-80.1138
8,-1.44449,-80.1138
8,-1.44449,-80.1138
8,-1.44449,-80.1138
8,-2.8992,-79.0153
8,-0.95002222,-80.7162
8,-0.95002222,-80.7162
8,-0.95002222,-80.7162
8,-1.6743,-78.6483
8,-2.12414011,-79.90516537
8,-1.44449,-80.1138
8,-2.8992,-79.0153
8,-2.8992,-79.0153
8,-2.1833,-79.8833
8,-2.16928034,-79.91136151
8,-2.16928034,-79.91136151
8,-2.16928034,-79.91136151
8,-2.16928034,-79.91136151
8,-2.16928034,-79.91136151
8,-2.16928034,-79.91136151
8,-2.16928034,-79.91136151
8,-2.16928034,-79.91136151
8,-2.16928034,-79.91136151
8,-1.44449,-80.1138
8,-2.1635317,-79.89751447
8,0.983333,-79.7
8,0.983333,-79.7
8,0.983333,-79.7
8,-2.18361933,-79.98945779
8,-1.44449,-80.1138
8,-1.44449,-80.1138
8,-2.16165011,-79.91640513
9,10.48936418,-66.81032634
9,10.48936418,-66.81032634
9,10.97260947,-63.8235797
9,10.45798333,-66.59575
9,10.45827167,-66.59629667
9,10.59798161,-67.00058806
9,-0.95073133,-80.72169583
9,-0.2066605,-78.5207284
9,-0.20460774,-78.49607032
9,-0.19583288,-78.5091612
9,-0.21963894,-78.51189272
9,-0.21963894,-78.51189272
9,-0.21963894,-78.51189272
9,-0.21963894,-78.51189272
9,-0.21963894,-78.51189272
9,-0.21963894,-78.51189272
9,-0.16994918,-78.47131024
9,-0.11586383,-78.49278596
9,-0.11586383,-78.49278596
9,-0.11586383,-78.49278596
9,-0.210177,-78.51271386
9,-0.210177,-78.51271386
9,-0.210177,-78.51271386
9,-0.17974524,-78.48184616
9,-0.210177,-78.51271386
9,-0.210177,-78.51271386
9,-0.17974524,-78.48184616
9,-0.210177,-78.51271386
9,-0.17974524,-78.48184616
9,-0.22132502,-78.51548063
9,-0.210177,-78.51271386
9,-0.210177,-78.51271386
9,-0.210177,-78.51271386
9,-0.17974524,-78.48184616
9,-0.17974524,-78.48184616
9,-0.17974524,-78.48184616
9,-0.210177,-78.51271386
9,-2.14800124,-79.86461595
9,-2.16667,-79.9
9,-0.19601333,-78.50910833
9,-0.124208,-78.500007
9,-0.20259771,-78.49092962
9,-0.20259771,-78.49092962
9,-0.17974524,-78.48184616
9,-0.20293068,-78.49111933
9,-0.20259771,-78.49092962
9,-0.20546629,-78.49315334
9,-0.20293375,-78.49112827
9,-0.10328069,-78.49066412
9,-0.20546629,-78.49315334
9,-0.17954237,-78.47879925
9,-0.20294027,-78.49378478
9,-0.25,-78.5833
9,-0.25,-78.5833
9,-0.22137375,-78.51149556
9,-0.25,-78.5833
9,-0.25,-78.5833
9,-0.25,-78.5833
9,-0.25,-78.5833
9,-0.17829,-78.4777603
9,-0.25,-78.5833
9,-0.25,-78.5833
9,-0.25,-78.5833
9,-0.25,-78.5833
9,-0.25,-78.5833
9,-0.25,-78.5833
9,-0.25,-78.5833
9,-0.25,-78.5833
9,-0.25,-78.5833
9,-0.25,-78.5833
